,clean_text,sentiment
162,barang sudaj sampai gan tks ,positive
163,respon cepat pengiriman juga cepat sudah dites kualitas barang ok trims,positive
164,terimakasihhhhhhh ,positive
165,barang sdh dterima dgn baik trima kasih ,positive
166,barang sudah di terima bagus packing rapih makasih pelayanan nya,positive
167,barang sudah sampai bahan kokoh sptnya udah di tes ke kayu nempel kuat untung dapet bonus isi nya trims gan ,positive
168,packing sangat rapih dan barang sesuai yg dipesan,positive
169,mantap ajib top joss,positive
170,pengiriman amp packaging bagus sesuai foto amp deskripsi staple gun agak berat ketika dipake ,positive
171,oke sesuai pesanan,positive
172,makasih gan barang sesuai ,positive
173,barang bagus kalau beli isinya kira di toko atk ada yang jual nda ya ,positive
174,trims yaaa barangx sdh sampai,positive
175,barang sesuai walaupun belum di coba makasih tokopedia,positive
176,packing bagus barang sesuai diskripsi,negative
177,mantab fast respon ,positive
178,barang sudah sampai belum tak coba,positive
179,baguuuus sesuai deskripsi dan gambar belum dicoba sih semoga g ada masalah,positive
180,produk bekerja dengan baik amp kuat,positive
181,beli staples gak jual isinya hanya sekali pake ckckck,negative
182,bagusbanget ,positive
183,puas pisan cepet pisan,positive
184,barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga tambah sukses gan tks ,positive
185,kirimannya sudah sampe makasih,positive
186,barang sesuai pesanan,positive
187,barang sdh sampai dgn cepat sdh dicoba dan hasilnya ok sukses terus boss ,positive
188,sesuai gambar tp blm dicoba semoga memuaskan thanks,positive
189,barangnya kurang bagus atomnya gak masuk semua,negative
190,sangat cepat responnya good job thanks,positive
191,sudah saya terima dlm keadaan baik trims,positive
192,terima kasih thank you danke gracias kittos syukron ,positive
193,brg sesuai gambar pelayanan oke,positive
194,barang sdh sampai ,positive
195,barang sudah di terima dengan baik,positive
196,barang sesuai gambar kemasan baik dan pengiriman cepat terima kasih,positive
197,barang sesuai deskripsi cuma terlambat di pengiriman semoga berkah,positive
198,sesuai dgn deskripsi dan foto dan sangat cocok bagi saya yg baru belajar saya rekomendasikan toko rumah baju kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan pos indonesia sudah sesuai dengan waktu pengiriman yg saya pilih sy puas dengan pelayan kalian,positive
199,good product mantab jaya recomended seller,positive
200,produk mantab pelayanan cepat terimakasih,positive
201,barang sesuai deskripsi tolong pakingnya di pebaiki lagi dikasih lakban biar aman punya saya pakunya tercecer dimana kotaknya robek,positive
202,barang sesuai deskripsi dan bagus semoga awet thx,positive
203,packing baik recommended seller barang sesuai pesanan,positive
204,bagus nanti saya pesan lagi di toko ini,positive
205,mantap gan bagus ,positive
206,saya mau review utk packaging produk dan penjual pertama packaging sangat rapi pakai double bubble dan dibalut lagi dengan karton tebal kedua produk sangat berkualitas tinggi harga standar dan kualitas juara ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya ketiga penjual sangat sangat ramah baru kali pertama ini saya dilayani dengan sangat puas pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller ,positive
207,respon dan pengiriman cepat barang oke good seller,positive
208,pengiriman cepat packing rapi dan barangnya sesuai dgn deskripsi,positive
209,bagus bagus bagusksksnsnjsjjsksmmsms,positive
210,respon dan pengiriman cepat barang bagus,positive
211,selamat sampai tujuan barang berfungsi normal isi paket lengkap,positive
212,produknya ok ,positive
213,kualitas okey makasih gan semua barang aman dan sesuai deskripsi ,positive
214,mantab joos tanpa kendala sampai jg sangat cepat packingnya aman kemasan dan produk mulus top pkoknya sukses selalu,positive
215,barang sesuai pesanan respon dan pengiriman cepat good seller,positive
216,barang sesuai posting siip,positive
217,berfungsi dengan baik pengiriman dan respon cepat,positive
218,barang sesuai dengan gambar pengiriman cepat respon seller ,positive
219,recommended seller ,positive
220,barang bagus respond cepat ,positive
221,barang sesuai order respon dan pengiriman cepat,positive
222,terima kasih pak barang nay sudah sampai,positive
223,bagusssssssssssss mksh,positive
224,pas dengan air nailer nya gan thanks recommended seller ,positive
225,oke sip sudah dinpake mantap,positive
226,makasih juragan ,positive
227,mantab salam ningrat ,positive
228,best dah best best penjual yg bner best dah ,positive
229,barang datang sesuai pesanan packing rapi ,positive
230,mantap barng oke dn cepat,positive
231,mkasih bnyak barang sesuai harga miring kualitas baguss sekali sukses ya gan,positive
232,alhamdulillah paket sdh sampai respon dan pelayanan cepat recommended deh mksh bos,positive
233,barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,positive
234,produk bagus cuma isinya agak susah produk sesuai deskripsi langsung dipakai ok dan mantul moga awet aja terima kasih,positive
235,terima kasih paket sudah di terima,negative
236,gan jual isi steples nya ,positive
237,barang bagus respon cepat maaf ulasannya lambat,positive
238,barang sudah sampai dengan packing rapih terimakasih gan,positive
239,alhamdulillah barang nya sdh kami terima dgn baik pesanan cepat sesuai dengan harapan hari proses pengiriman mantap,positive
240,paket sudah saya terima dengan baik terima kasih banyak atas pelayanannya ,positive
241,barang udh nyampe gan tks sukses terus house sparepart ,positive
242,barang sudah sampai tetapi bingung cara penggunaannya krn tdk ada petunjuk pemakaian tulisannya bahasa china semuanya ,positive
243,sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua ,negative
244,item is ok packing and delivery speed are also prima thanks,positive
245,trima kasih sdh sy dtrima dgn baik ,positive
246,pengiriman cepat packing aman tp isi staplesnya pada karatan semua beli box,negative
247,makasih juragannnnnnnnnnnnn,positive
248,sangat puaasss barang sudah di terima dengan baik,positive
249,terima kasih barang sudah diterima dengan baik,positive
250,paket sampai dengan cepat barang sesuai dengan gambar,positive
251,makasih agan barang cepet sampai isi mulus recommended seller deh next order lagi,positive
252,barang ssesuai gambar dan pengirimannya cepat ,positive
253,ini jugaaa okeeeh ,positive
254,barang cepet sampai terima kasih ,positive
255,isinya ada yg karat produk sesuai gambar,negative
256,refillnya ada yang karatan tapi lumayan dah,positive
257,isi steplessnya sdh lama ya gan ada yg sdh agak berkarat ,positive
258,terima kasih barang sudah diterima recommended seller ,positive
259,barang dah sampe pengiriman cepat ,positive
260,barang dah sampai tapi sy salah tafsir tak pikir mm utk lebarnya ternyata kecil ya sudahlah bisa buat yg lain thx,negative
261,siiip ,positive
262,respon cepat barang sesuai thx gan,positive
263,terima kasih barang sudah sampai dengan baik pengirimannya agak lambat sy pesan dan bayar tgl sampai tgl jakarta to jakarta mungkin ini efek dari hari libur nasional jumat s d minggu atau ada hal yang lain yah ,positive
264,maaf baru sempet ksh ulasan brg udh diterima hari yg lalu mksh yaa ,positive
265,barang sesuai gambar walau sedikit slow respon tp masih ok thx gan,positive
266,sip gan mantap makasih ya,positive
267,produk tidak sesuai order prohex yg dikirim ini,negative
268,barang oke packing aman proses kirim cepat trims,positive
269,sdh diterima thank you ,positive
270,barang sdh sampai dengan selamat packing jg rapih,positive
271,okeh sip terima kasih ,positive
272,fast respon harga murah good n recomended seller deh ,positive
273,barang bagus isi lumayan,positive
274,clear as described recommended seller aaaa ,positive
275,produk bagus dan penjual recommended,positive
276,okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,positive
277,thx gan pesanan udh sampe recommended seller ,positive
278,terimakasih ,positive
279,mantul fast respon kaya vr ,positive
280,terima kasih barang telah diterima semoga mantap akan order lagi,positive
281,pas dengan yang saya cari barang bagus,positive
282,barang cocok dengan harapan ,negative
283,terimakasih barangnya sudah sampai ,positive
284,salah beli kekecilan kualitas lumayan lah,positive
285,barang sesuai deskripsi ,positive
286,mantap laah harga murmer ,positive
287,sesuai deskripsi dan pengiriman cepat ,positive
288,trimaksh brang telah sampai dgn utuh ,positive
289,lumayan cocok dengan harganya,positive
290,mantab ,positive
291,mantap ,positive
292,barang sudah sampai gan langsung ane pakai buat mbenerin kursi,positive
293,kiriman lama tapi sesuai pesanan,positive
294,dah sampe makasih gan ,positive
295,recomended seller thanks gan,positive
296,pesanan sudah sampai terima kasih ,positive
297,barang diterima sesuai pesanan thx,positive
298,biar bintang yg bicara ,positive
299,fast respont best seller ,positive
300,barang bagus sesuai pesanan mas thx,positive
301,sesuai pesanan n proses cepat pertahankan y gan,positive
302,brg sdh diterima ,negative
303,good seller sukses selalu,positive
304,blom kpake ga ccocok ama pluru nya trnyata,negative
305,semoga awet ,positive
306,barang sesuai harga n berfungsi dengan baik ,positive
307,pesanan sesuai dengan gambar pengiriman cepat makasih ,positive
308,thnks gan barang sesuai foto mudahhan awet nih blm coba karna blm ada isinya ,positive
309,barang sdh sampai belum dicoba semoga bisa pakai dan awet thank u seller,positive
310,barang sudah sampai bagus packing rapi,positive
311,barang sesuai gambar barang bagus murah tapi tidak murahan,positive
312,barang sdh ditrima dan berfungsi manteb gan,positive
313,thanks thanks thanks thanks,positive
314,sesuau dengan pesanan semoga awet thx ,positive
315,barang sesuai pesanan mantapp ,positive
316,bngung ini isi staples tembak nya ukuran nomer berapa ya,positive
317,barang sudah sampai dan barang ok terima kasih,positive
318,sesuai gambar sesuai kualitas dengan harga,negative
319,alat bagus berjalan normal bahannya bagus pelayanan ok ,positive
320,siiip barang dah nyampai tengkyu,positive
321,thanks bgt yaa say suka bgt sama barang nyaa sesuai dan good quality,positive
322,brg sudah sampai kualitas brg sesuai harga thanks ,positive
323,bad response ga ada jawaban setiap di tanya sangat sangat silent seller,negative
324,tks ,positive
325,respon kurang cepat lain kali respon agak cepat thanks,negative
326,bagus pengiriman ok rekomen,positive
327,barang sesuai pesanan mantafffffffff,positive
328,super ga ribet cepet ga perlu nanya ada stok atau ga saya langsung order proses sehari sampe mantap barang murah tapi ga murahan joss recommended seller,positive
329,sesuai dengan pesanan sangat berguna,positive
330,bagus dan cepat sampai barang nya oke,positive
331,barang sudah sampai terimakasih next time order lagi,positive
332,makasih ya kiriman dah sampe,positive
333,okelahh sesuai dgn deskripsi,positive
334,puas thx,positive
335,produk sesuai deskripsi foto packing pengiriman rapicepat mantap sukses selalu terimakasih,positive
336,cepet bgt nyampe order yg hari hari udah sampe ,positive
337,produk sesuai deskripsi pengiriman cepat,positive
338,barang kualitas bagus sudah coba dipakai bekerja seperti yg diharapkan ,positive
339,produk sesuai dengan gambar mantap,positive
340,mantap alatny sekali jepret langsung tancap pokokny recommended ,positive
341,thanks barang dah sampe ,positive
342,original sesuai foto bagus mantap,positive
343,barang bagus sesuai pesanan ,positive
344,babut maksudnya bagus belanja disini barang sesuai gambaran di otak saya,positive
345,asli rapide r respon seller cepat,positive
346,produk sesuai dengan deskripsi ,positive
347,cepet abieasssssss gannnnnn,positive
348,cepet sampainya recomend,positive
349,telah diterima dengan baik semoga awet barangnya,positive
350,recomemded seller ,positive
351,terima kasih sudah sampai,positive
352,pengiriman cepat packing rapi,positive
353,sesuai maaf baru konfirmasi fast respon ,positive
354,recomsel ,positive
355,bagus berfungsi dg baik,positive
356,barang diterima sesuai order,positive
357,respon cepat packing rapi dan aman makasih yaaa,positive
358,produk cepet bgt sampainya sesuai gambar penjual ramah trimakasih dan sukses terus,positive
359,pengiriman cepat barang sesuai deskripsi terima kasih,positive
360,paket mantab langsung dipakai dan hasilnya memuaskan recomended nih untuk order berikutnya ,positive
361,barangnya sesuai dengan harapan,positive
362,alhamdhulillah pesanan k sudah sampai lebih cepat dari perkiraan kualitas barang oke banget sangat memuaskan ,positive
363,barang sampai dengan selamat packing rapih pake buble pengiriman cepat top lah,positive
364,barang sesuai deskripsi dan response seller cepat ,positive
365,barang cepat sampai pesan sabtu minggu sampai sesuai harapan tks ,positive
366, barang berkualitas,positive
367,barang baguuuus amp pengiriman cepat,positive
368,lumayan untuk harga segitu bagus juga dan bekerja dengan baik,positive
369,pengiriman cepat dan barang sesuai pesanan,positive
370,good stuff recommended ,positive
371,barang dtg cepat berkualiras dan penjual respon ok trims ,positive
372,barang sudah diterima dgn baik sgb lah fungsi jg ok ,positive
373,barang bagus sangat kokoh,positive
374,bagus gan barang nya kokoh,positive
375,barang sesuai dengan pesanan mantab gan ,positive
376,brh sdh sampe trims gan ,positive
377,pengiriman sangat cepat dan kenasan baik,positive
378,good response recomended seller tapi barangnya kurang bagus ,negative
379,barang sesuai pesanan dan berfungsing dengan baik thanks ya ,positive
380,orang counter tukang jok kuli bangunan tukang cilok tukang sate driver grab supir go car dll wajib beli ini pekerjaan jd mudah,positive
381,barangnya memuaskan gan ,positive
382,barang sudah diterima dengan baik pengiriman sesuai jadwal mantap jempoool dah,positive
383,goood ,positive
384,trimakasih gan barang dah sampai top ,positive
385,tidak bisa buat masang jok gak ke pake,negative
386,staples nya sdh sampai tks,positive
387,produk sesuai dengan foto terima kasih gan,positive
388,good proses cepat ,positive
389,respon cepat pengiriman super cepat barang sesuai mantap,positive
390,barang bagus respon cepat tx ,positive
391,sudah dicoba kualitas oke sesuai deskripsi terima kasih,positive
392,baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,positive
393,responnya cepet barang sudah sampai dicoba juga berfungsi baik ,positive
394,cepat sampai mantab makasih,positive
395,cepat pengirimannya ea,positive
396,seller oke packing oke barang fungsi dg baik jne nya yg busuk masa dari kardus luar smp isi dalamnya basah semua kena hujan kurir kamprett,positive
397,respon cepat barang sesuai poto dan berfungsi normal ,positive
398,barang bagus terima kasih,positive
399,sangat cepat dan barang persis contoh,positive
400,barang oke sip recommended seller,positive
401,thanks recomended ,positive
402,thanks gan barang sdh sampe isi straplesnya udh patah rejectn sprtinya semoga bermanfaat semoga mkin laris lapaknya makasih,positive
403,barang bagus sesuai gambar amp sesuai harga trims y,positive
404,okey gan makasih barang sudah mendarat,positive
405,bagussssss ,positive
406,barangx sdh sampai packing dan barangx bgs bngt mksh gan ,positive
407,staples sdh dicoba berfungsi baik terima kasih seller ,positive
408,barang sudah sampai dan berfungsi dengan baik,positive
409,respon seller dan pengiriman cepet banget packing aman dan rapi kualitas barangnya gak murahan dan berfungsi dengan baik recommended terima kasih ,positive
410,paket sesuai pesanan gosend lagi bagus cepat terima kasih,positive
411,terimakasih barang sudah sampe pengirimannya cepat kemasan rapih tks,positive
412,oke top markotop proses cepat malam bayar siang sampai,positive
413,terima kasih buat segala pelayanannya barangnya bagus mau saya gunakan pasang klem kabel biar lebih cepat ternyata brad nail f juga bisa masuk salam sukses gan ,positive
414,udah samapi makasih banyak juragan ,positive
415,sesuai bagus terima kasih sukses terus,positive
416,barang sesuai pengiriman ckp cepat mksh,positive
417,barang sesuai deskripsi penjual responsif pengiriman cepat dan akurat terima kasih,positive
418,sesuai deskripsi terima kasih,positive
419,respon dan proses order cepat barang sesuai gambar dan pengunaan berfungsi baik,positive
420,brg sdh sa pai dan dicoba sdh ok,negative
421,trims ,positive
422,barang oke sesuai berfungsi dgn bagus semoga awet thx gan,positive
423,lumayannnnnnnnnnnnnnnnnnnnnnnnnn,positive
424,sesuai pesanan mantappppppppppppplllllllpppp,positive
425,terimakasih paketnya sudah sampai good saller recoment ,positive
426,bagus barangnya sesuai dengan deskripsi seller top thank you,positive
427,paket sudah saya terima terima kasih,positive
428,thaks ,positive
429,barang sudah diterima respon penjual cepat pengiriman juga cepat barang bagus ,positive
430,barang dah sampe cuma blum di buka mudahan bagus ,positive
431,cepet bgt proses pngirimannya ,positive
432,barangnya sudah sampai gan trims,positive
433,brg bagus pertama agan na krm barang na gk dpt isi staples na gr kesalahan pabrik yg mn msh segel tp isi staples na gk ad lngsng komplain lwt tokopedia agan na lngsng mnt krm balik n brg d krm yg sesuai ongkir bulak balik d tanggung ama agan na thx bgtt gan bnr recomended seller ,positive
434,paket sudah sampai dengan selamat barang bagus dapet isinya macam pula tq,positive
435,thank you proses pengiriman cepat ,positive
436,makasih responnya cepat sekali kemarin sore pesan tadi siang barang sampai tks,positive
437,produknya bagus bosque ,positive
438,kirim nya cepat produk lumayan ,positive
439,alus uyy geus nepi deui nuhun mudahan awet,positive
440,sipppppp thank s,positive
441,pengiriman tepat waktu terima kasih tambah sukses,positive
442,respon cepat barang sesuai di gambar jam udah sampe makasih gan ,positive
443,barang bagis sesuai diskripsi,positive
444,mantap sesuai yg di iklankan,positive
445,ksiiiiiiiiiiiiiiiiiiiiiioiiiiiooooiiiiiiiiiip,positive
446,mantap fast respon harga bersahabat ,positive
447,terimakasih barang sudah sampai ,positive
448,barang kurang bagus kadang staples ga keluar agak kurang bagus,negative
449,mantap sesuai pesanan dan semoga awet,positive
450,staples nya o k gan,positive
451,fast respon material bagus smoga awet tq gan ,positive
452,terimakasih barang sudah sampai sesuai dengan pesanan dengan layanan dan respon yang cepat ,positive
453,barangbsudah sampai yujuan cepat parking bagus,positive
454,ooooooooooooooookkkkkkkk ,positive
455,bagus sesuai dengan pesanan dan berfungsi dengan baik ,positive
456,tooooooooooooooooooop bgt,positive
457,terimakasih barang sdh sy terima sesuai pesanan ,positive
458,packing ok respon cepat and barang sesuai deskripsi recsel ,positive
459,hari ini sy ke ltc lindeteves memang lbh baik online dpt bebasongkir sangat efisien belanja recommended seller,positive
460,sudah diterima sesuai deskripsi barang bagus,positive
461,udh x lbh beli disini ga pernah kecewa bli disini fast respon pengiriman sangat cepet dan rapi lanjutkan recomended bgt,positive
462,terima kasih barang sudah sampai gannn,positive
463,barang bagus cepat sampai recommended ,positive
464,sangat puas belanja di toko ini,positive
465,barang sampai dengan selamat ,positive
466,barang sesuai respon cepat jempol dehhh ,positive
467,selalu puas dengan pelayanan toko ini dan tokopedia top seller,positive
468,respon cepat paket cepat sampai,positive
469,barang sdh sampai fast respons ,positive
470,recomended seller bossss,positive
471,barang nya okey pengiriman juga cepat mantapppp makasih yah ,positive
472,pas cocok sesuai dengan gambar dan deskripsi,positive
473,barang sesuai pesanan mksh,positive
474,belanja kedua kalinya selalu memuaskan respon cepat recommended seller ,positive
475,stlh trf lsg dikirim oleh wahana pake wahana ke serang cuma sehari sudah sampai recommended,positive
476,packing rapi sellernya juga ramah produk juga bagus makasih gan,positive
477,cpt bgt pake wahana sampe kurang dr jam ke serang goodd ,positive
478,produk sesuai dengan etalase gambar pengiriman cepat respon baik pokok nya ok lah sukses selalu dan tingkatkan terus pelayanan,positive
479,baru nyoba merek ini ternyata bagus sukses jualannya,positive
480,tiba lebih cepat ,positive
481,mantap gan sesuai pesanan dan perkiraan mantap tap dah thanks gan,positive
482,sesuai pesanan ,positive
483,thxs gan barangnya sdh sampai dgn baik ,positive
484,ok pas mantap ,positive
485,thanks ya boss semoga bermanfaat,positive
486,joooooooooooooooooooooooosss,positive
487,barang sudah sampai thanks for seller,positive
488,barang udah nyampk tadi sore baru konfirmasi baru pulang kerja,positive
489,oke uda kami terimah barang bagus tidak ada masalah mantaaap ,positive
490,good quality suwun y sukses slalu,positive
491,respon tercepat dari semua toko yg pernah saya order mantap,positive
492,barang sesuai deskrepsi bagus,positive
493,produk sesuai foto uji coba hasil memuaskan,positive
494,siiiiiiiiiippppppppppp,positive
495,sudah diterima dan sesuai pesanan,positive
